,id,channel_name,title,keyword,published_at,VideoViews
115,57E86DjKDDo,Ben Shapiro,Ben Shapiro DEBUNKS Celebrity Abortion Arguments,Abortion,2022-04-02T16:00:04Z,869684
116,U3Mg30xp16w,Ben Shapiro,This Is What COVID Hysteria Is Doing to Our Children,Covid,2022-03-26T17:00:31Z,428049
117,zaNpAAubt98,Ben Shapiro,The Federal Reserve Just Made the WORST Decision in Attempt to Slow Inflation,Inflation,2022-03-17T23:56:54Z,118178
118,fe5wVWrLAlg,Ben Shapiro,LOL: Biden Administration Can't Answer Questions About RISING Gas Prices,Gas,2022-03-12T00:53:02Z,210444
119,uEALf2I-9b0,Ben Shapiro,Here’s Why Biden Is to Blame for Insanely High Gas Prices,Gas,2022-03-11T00:30:19Z,293502
120,DsetH7jBLj0,Ben Shapiro,Joe Biden’s Gas Problem |  Ep. 1449,Gas,2022-03-10T22:35:31Z,84510
121,g7rn_74UG-s,Ben Shapiro,WATCH: Trump Predicted Biden's Rising Gas Prices,Gas,2022-03-09T23:33:10Z,211447
122,JvUmxPGMpc4,Ben Shapiro,INSANE: Biden’s HORRIBLE Plan to Lower Gas Prices,Gas,2022-03-09T00:00:06Z,152376
123,KZJm-Bt4rSs,Ben Shapiro,Shapiro Breaks Down the Causes of Inflation,Inflation,2022-03-08T21:17:53Z,479177
124,I1cKHzjv15k,Ben Shapiro,How Biden's Foreign Policy Decisions Will Affect the U.S. Economy,Economy,2022-03-04T00:07:05Z,78059
125,lAazJOk6e-I,Ben Shapiro,Shapiro REACTS to SNL's Insane COVID Hypocrisy Skit,Covid,2022-03-01T03:00:13Z,777168
126,S4UaolRwqig,Ben Shapiro,Democrats Are Changing Their Stance on COVID – Here’s Why.,Covid,2022-02-09T00:30:03Z,259011
127,foydspxRJ0s,Ben Shapiro,The Left Blames Joe Rogan for COVID Deaths,Covid,2022-02-08T00:41:45Z,125177
128,VRVvFlvgoo4,Ben Shapiro,Biden Is Changing His COVID Strategy – But It’s Way Too Late,Covid,2022-02-05T00:30:05Z,294583
129,Cupgb8HL0W0,Ben Shapiro,The Biden Economy Hits The Skids | Ep. 1422,Economy,2022-01-28T18:00:10Z,252170
130,6jXhqTz-iDg,Ben Shapiro,Bari Weiss Is Right About the Dems' Awful COVID Policies. Here’s Why.,Covid,2022-01-25T01:00:01Z,187134
131,lFWjcY-palw,Ben Shapiro,LOL: AOC Gives Ridiculous COVID Message,Covid,2022-01-19T00:24:44Z,730514
132,QBTfYrRcwDI,Ben Shapiro,Inflation Hits FASTEST RATE Since 1982,Inflation,2022-01-14T01:00:05Z,88581
133,IiEiZEMM_0s,Ben Shapiro,Shapiro Breaks Down CDC Director's SHOCKING Covid Admission,Covid,2022-01-11T01:00:04Z,237699
134,EbCib0-30S8,Ben Shapiro,INSANE: 100 BILLION Dollars Stolen From COVID Relief Programs,Covid,2021-12-24T00:30:04Z,185688
135,TzgaTnKrs5w,Ben Shapiro,How The West’s Covid Policy Betrayed The Young | Ep. 1395,Covid,2021-12-14T18:00:10Z,194129
136,86TTArblYFc,Ben Shapiro,Abortion Is an Attack on Women. Here’s Why.,Abortion,2021-12-14T03:30:01Z,212219
137,DBBIJd9tlOE,Ben Shapiro,New York City’s New School COVID Policies Are INSANE,Covid,2021-12-14T01:00:02Z,137763
138,EiOOkTNPZes,Ben Shapiro,THIS Is How Biden’s Poor Economy Is Impacting Average Americans,Economy,2021-12-13T23:31:40Z,72318
139,EiOOkTNPZes,Ben Shapiro,THIS Is How Biden’s Poor Economy Is Impacting Average Americans,Poor,2021-12-13T23:31:40Z,72318
140,WadvtSAKoAY,Ben Shapiro,When Will The Biden Inflation Bubble Burst? | Ep. 1394,Inflation,2021-12-13T18:00:10Z,270352
141,IMCuTPiZCVM,Ben Shapiro,"Origins of the Daily Wire, Trump’s 2024 Plans, and Country Music | Ben Shapiro & John Rich",Rich,2021-12-11T15:00:08Z,260963
142,JsamOi5dbvQ,Ben Shapiro,INSANE: California Plans to Become ABORTION SANCTUARY,Abortion,2021-12-10T00:00:04Z,116193
143,jQzyV4pl3gk,Ben Shapiro,"Shapiro REACTS to COVID Christmas Song by Megan Thee Stallion, Ariana Grande, & Jimmy Fallon",Covid,2021-12-07T23:18:01Z,439847
144,EW4ua6_I4XY,Ben Shapiro,LUNACY: Leftist Justifies ABORTION by Citing the “Trauma” of ADOPTION,Abortion,2021-12-04T01:00:05Z,134132
145,Y4Dpx5X3cuI,Ben Shapiro,LOL: Democrats Celebrate Gas Prices Dropping by TWO CENTS,Gas,2021-12-03T23:30:03Z,219344
146,ICQc_oP6pLo,Ben Shapiro,The Abortion Fanatics Prepare For The Apocalypse | Ep. 1388,Abortion,2021-12-03T18:00:11Z,272380
147,r6RtFVm1cDI,Ben Shapiro,Ben Shapiro Breaks Down the Supreme Court Abortion Case,Abortion,2021-12-03T00:25:01Z,169015
148,J9q4-G5-xqg,Ben Shapiro,Is Roe About To Go? | Ep. 1387,Roe,2021-12-02T18:00:08Z,301940
149,sB1ukPf5axg,Ben Shapiro,LOL: Joe Biden FALLS ASLEEP At Climate Conference,Climate,2021-11-13T23:00:33Z,1934995
150,l2oXHzxcoEQ,Ben Shapiro,WEAK: Prosecutor Tries to Link CALL OF DUTY to Kyle Rittenhouse Shootings,Shooting,2021-11-11T23:16:09Z,267294
151,vPXONCA1wmE,Ben Shapiro,INSANE: Biden Nominee Wants to BANKRUPT Oil Companies to Stop Climate Change,Climate,2021-11-10T23:35:12Z,85395
152,obbGU-X2axI,Ben Shapiro,Man Shot by Kyle Rittenhouse ADMITS He Pulled His Gun on Kyle FIRST,Gun,2021-11-09T23:06:30Z,400568
153,bDBF_R2mmik,Ben Shapiro,Shapiro Reacts to AWFUL SNL Abortion Skit,Abortion,2021-11-09T02:30:13Z,721131
154,-8hGOaaHWvw,Ben Shapiro,Biden Is Making Illegal Immigrants Rich And Americans Dependant | Ep. 1365,Immigration,2021-10-29T17:00:11Z,287350
155,-8hGOaaHWvw,Ben Shapiro,Biden Is Making Illegal Immigrants Rich And Americans Dependant | Ep. 1365,Rich,2021-10-29T17:00:11Z,287350
156,L1ia1AK6YNE,Ben Shapiro,Is the Tide Turning on the Abortion Issue?,Abortion,2021-10-27T21:00:23Z,44588
